backnum,playerName,playerCode,birth,info
6,홍종표,50600,20000502,-
53,송우현,65362,19961227,-
19,김민규,68200,19990507,-
69,팔카,50469,19911028,-
15,화이트,50802,19901029,-
48,김성민,50848,20010430,-
99,윤정현,69399,19930517,P_WO
53,함덕주,63248,19950113,-
68,이상민,63960,19901104,-
56,채현우,69804,19951121,-
50,장현식,63950,19950224,-
68,류효승,50868,19960716,-
56,김현수,69516,20000710,-
45,박정수,65639,19960129,-
26,장필준,77927,19880408,P_SS
35,남호,69104,20000720,-
39,류원석,63103,19891118,-
48,장웅정,50706,19970411,-
45,최영환,64718,19920220,P_LT
31,오동욱,69703,20010201,-
26,허관회,69706,19990212,H_HH
4,알몬테,51004,19890610,-
22,카펜터,51722,19900822,-
25,힐리,51725,19920110,-
6,파슨스,51967,19920906,-
24,프레이타스,51324,19890318,-
15,김진욱,51516,20020705,P_LT
57,미란다,51257,19890110,-
32,강태율,65514,19961101,H_LT
3,안재석,51203,20020215,H_OB
15,멩덴,51619,19930219,-
12,고명준,51868,20020708,H_SK
31,나승엽,51551,20020215,-
34,스미스,51334,19870807,-
36,수아레즈,51136,19920911,-
34,로켓,51234,19940503,-
53,이주형,50167,20010402,H_LG
67,프랑코,51567,19921229,-
34,르위키,51834,19920408,-
62,김주성,66162,19980130,-
46,한석현,64101,19940517,H_NC
63,폰트,51863,19900524,P_SK
55,이상영,69168,20001203,P_LG
21,강동연,61295,19921218,-
26,남재현,66660,19960913,-
3,권동진,51003,19980912,H_KT
49,장두성,68507,19990916,H_LT
0,박정우,67609,19980201,-
21,김정빈,63894,19940608,-
61,배동현,51761,19980316,-
0,안권수,50202,19930419,H_LT
60,이주찬,51560,19980921,-
48,이승관,68797,19991201,-
50,김주현,66749,19931221,-
0,이영빈,51100,20020617,H_LG
24,김태훈,65040,19960331,H_SS
5,윤대경,63464,19940409,-
19,구준범,64498,19950318,-
15,김기중,51715,20021116,P_HH
46,양선률,50813,19970415,-
22,문찬종,50365,19910323,-
19,윤중현,68619,19950425,-
57,박민,50657,20010605,-
69,최용준,50650,20011219,-
34,심재민,64017,19940218,-
58,이주형,51302,20020705,H_WO
0,김건형,51005,19960712,-
68,강윤구,79358,19900710,-
63,장지승,51706,19980704,-
33,가빌리오,51833,19900522,-
10,이명기,69366,20000103,-
39,몽고메리,51439,19890701,-
4,김병휘,50304,20010216,-
30,최민준,68856,19990611,P_SK
44,권혁경,51640,20020123,-
44,보어,51144,19880528,-
60,김동혁,50360,20011227,-
60,김태경,50992,20010407,P_NC
24,크레익,51309,19941116,-
78,강태경,50905,20010726,-
46,이재희,51460,20011011,P_SS
14,페레즈,51714,19910326,-
49,최보성,68909,19981016,-
50,이원석,68700,19990331,H_HH
57,김규남,69810,19950512,-
44,배민서,69974,19991118,-
59,김건우,51867,20020712,-
31,이정범,67807,19980410,H_SK
11,남지민,50720,20010212,P_HH
97,조병현,51897,20020508,-
36,다카하시,51636,19970123,-
62,장규현,51762,20020628,-
64,최승용,51264,20010511,P_OB
67,송호정,51767,20020310,-
59,임준형,69113,20001116,-
41,정민규,51764,20030110,-
35,김석환,67610,19990228,H_HT
2,박지훈,50204,20000907,-
46,김명신,67246,19931129,-
12,터크먼,52712,19901203,H_HH
4,마티니,52904,19900627,H_NC
12,루이즈,52112,19940522,-
25,라모스,52025,19920415,-
8,애플러,52308,19930105,P_WO
66,푸이그,52366,19901207,H_WO
27,크론,52827,19930217,-
26,피터스,52526,19951212,-
6,오명진,50208,20010904,-
9,이병규,67363,19941005,H_WO
16,조세진,52516,20031121,H_LT
67,윤도현,52667,20030507,-
68,김한별,50902,20010118,H_NC
98,이성원,68706,19991102,-
66,송찬의,68110,19990220,H_LG
34,스탁,52234,19891121,P_OB
45,로니,52645,19960106,-
33,노바,52833,19870112,-
63,이상우,52063,20031014,-
102,안현민,52001,20030822,-
35,이태훈,68466,19950403,H_SS
28,임석진,66833,19971010,H_HT
4,이재홍,51307,19981217,-
4,이상혁,52704,20010914,-
36,양경식,51305,20010203,-
13,하재훈,69813,19901029,H_SK
56,최준용,50556,20011010,-
37,놀린,52637,19891226,P_HT
50,오태양,51996,20020425,H_NC
24,김재혁,52424,19991226,-
66,박신지,68249,19990716,P_OB
57,스파크맨,52557,19920511,P_LT
64,허인서,52764,20030711,H_HH
21,김시훈,68928,19990224,-
95,원혁재,67760,19950129,-
8,최상민,68805,19990820,H_SK
13,유준규,51013,20020816,-
26,박유연,67202,19981220,-
30,강현구,51269,20020616,-
56,권광민,52769,19971212,H_HH
68,한태양,52568,20030915,H_LT
67,이해승,69416,20000801,H_SS
69,석정우,52804,19990120,H_SK
56,전의산,50820,20001125,H_SK
48,이용준,51948,20020508,P_NC
60,전영준,52809,20020416,-
63,김민수,69500,19960611,-
22,라미레즈,52707,19931128,P_HH
26,김시앙,51303,20011031,H_WO
25,가르시아,52125,19930328,H_LG
27,라가레스,52806,19890317,H_SK
92,김태근,69207,19960810,H_OB
92,양승혁,68002,19990929,H_KT
33,모리만도,52808,19921120,P_SK
30,이민석,52530,20031210,P_LT
8,송승환,69203,20001028,H_OB
50,더모디,52950,19900704,P_NC
30,주승우,52330,20000130,P_WO
30,김영웅,52430,20030824,H_SS
65,유상빈,52705,20000509,H_HH
23,이병헌,69428,19991026,H_SS
31,박준영,52731,20030302,P_HH
32,조형우,51865,20020404,H_SK
12,김기연,66112,19970907,H_LG
59,강효종,51143,20021014,P_LG
12,오그레디,53712,19920517,H_HH
5,강민성,69064,19991208,H_KT
58,정준영,53058,20040126,H_KT
45,메디나,53645,19961218,P_HT
34,스미스,53734,19900412,P_HH
57,손민석,53057,20040621,H_KT
96,윤준호,53296,20001114,-
33,맥카티,53833,19951012,P_SK
0,김유영,64596,19940502,-
98,송영진,53898,20040528,P_SK
65,김정민,53865,20040307,-
40,슐서,53040,19940505,P_KT
0,김재상,53400,20040726,H_SS
36,류현인,53036,20001108,H_KT
39,박명근,53139,20040327,P_LG
12,김건희,53312,20041107,H_WO
31,윤정빈,68463,19990624,H_SS
94,한경빈,52710,19981211,-
37,김동우,68589,19951001,-
56,정구범,50995,20000616,-
38,오장한,51991,20020520,H_NC
63,송재선,53303,20000630,H_WO
44,김건웅,53844,20000508,H_SK
21,오승환,75421,19820715,P_SS
33,딜런,53233,19960604,P_OB
0,문상준,50007,20010314,H_KT
25,김상민,52402,20031206,H_SS
69,서동욱,53569,20000324,H_LT
63,윤수녕,53505,20000301,H_LT
95,이원재,52295,20030507,P_OB
98,박민석,69056,20000413,H_KT
0,박영빈,50906,19970716,H_NC
68,이선우,69068,20000919,P_KT
44,김범석,53144,20040521,H_LG
33,김휘집,51344,20020101,H_WO
30,허도환,77243,19840731,H_LG
43,조성훈,68848,19990322,P_SK
7,최준우,68868,19990325,H_SK
56,정성종,68556,19951116,P_LT
5,김민수,67504,19980318,H_LT
26,한승혁,61666,19930103,P_HH
50,이지강,69108,19990702,P_LG
28,장원준,74513,19850731,P_OB
35,이인복,64565,19910618,P_LT
12,신범수,66662,19980125,H_HT
37,박건우,79215,19900908,H_NC
18,박석민,74465,19850622,H_NC
3,신윤후,69508,19960105,H_LT
38,김동엽,66838,19900724,H_SS
8,김호재,64407,19950531,H_SS
13,이성규,66409,19930803,H_SS
37,김대한,69238,20001206,H_OB
44,김동헌,53344,20040715,H_WO
64,앤더슨,53664,19941029,P_HT
57,양찬열,50293,19970525,H_OB
96,이준호,53996,20000327,P_NC
17,이원석,75566,19861021,H_WO
32,조민성,52405,20031002,H_SS
13,윤영철,53613,20040420,P_HT
55,한준수,68646,19990213,H_HT
50,박종훈,60841,19910813,P_SK
14,최정,75847,19870228,H_SK
20,이재원,76812,19880224,H_SK
55,강현우,50066,20010413,H_KT
1,임찬규,61101,19921120,P_LG
52,이재원,68106,19990717,H_LG
16,김민성,77564,19881217,H_LG
24,손호영,50150,19940823,H_LG
65,고승민,69517,20000811,H_LT
59,한승주,50726,20010317,P_HH
61,장재영,51359,20020510,P_WO
41,김동주,51230,20020214,P_OB
13,허경민,79240,19900826,H_OB
61,황동재,50441,20011103,P_SS
44,오재일,75334,19861029,H_SS
14,안주형,66406,19930814,H_SS
46,류승민,53404,20041011,H_SS
66,이창진,64560,19910304,H_HT
56,최채흥,68419,19950122,P_SS
43,김건국,76225,19880202,P_HT
52,황대인,65610,19960210,H_HT
14,김규성,66614,19970308,H_HT
18,엄상백,65056,19961004,P_KT
8,안치영,67006,19980529,H_KT
4,오윤석,64504,19920224,H_KT
3,장준원,64115,19951121,H_KT
47,곽빈,68220,19990528,P_OB
44,홍성호,66233,19970715,H_OB
14,박계범,64468,19960111,H_OB
48,이의리,51648,20020616,P_HT
16,이상호,60566,19890205,H_KT
45,플럿코,52145,19911003,P_LG
21,박세웅,64021,19951130,P_LT
17,렉스,52547,19931112,H_LT
25,엘리아스,53825,19880801,P_SK
27,에레디아,53827,19910131,H_SK
10,안상현,66864,19970127,H_SK
34,산체스,53714,19970411,P_HH
25,김태연,66704,19970610,H_HH
97,김건,69702,20000223,H_HH
53,신민혁,68902,19990204,P_NC
33,최정원,69992,20000624,H_NC
2,박민우,62907,19930206,H_NC
3,김수윤,67900,19980716,H_NC
20,최원태,65320,19970107,P_WO
57,박주홍,50357,20010416,H_WO
43,알칸타라,69045,19921204,P_OB
7,이유찬,67207,19980805,H_OB
65,산체스,53665,19941031,P_HT
57,고종욱,61353,19890111,H_HT
19,배제성,65516,19960929,P_KT
31,이정용,69134,19960326,P_LG
58,스트레일리,50558,19881201,P_LT
6,손성빈,51528,20020114,H_LT
47,오원석,50859,20010423,P_SK
35,한유섬,62895,19890809,H_SK
20,페냐,52720,19900225,P_HH
57,수아레즈,52457,19891008,P_SS
11,송명기,69962,20000809,P_NC
25,김성욱,62934,19930501,H_NC
58,정찬헌,78148,19900126,P_WO
61,최원준,67263,19941221,P_OB
43,벤자민,52043,19930726,P_KT
41,안우진,68341,19990830,P_WO
48,박찬혁,52348,20030425,H_WO
31,김수환,68346,19980320,H_WO
1,문동주,52701,20031223,P_HH
45,이진영,66657,19970721,H_HH
37,김인환,66715,19940128,H_HH
8,노시환,69737,20001203,H_HH
22,채은성,79192,19900206,H_HH
64,문현빈,53764,20040420,H_HH
13,최재훈,78288,19890827,H_HH
3,윌리엄스,53716,19930908,H_HH
43,정은원,68743,20000117,H_HH
7,이도윤,65703,19961007,H_HH
3,켈리,69103,19891004,P_LG
51,홍창기,66108,19931121,H_LG
8,문성주,68119,19970220,H_LG
22,김현수,76290,19880112,H_LG
23,오스틴,53123,19931014,H_LG
10,오지환,79109,19900312,H_LG
27,박동원,79365,19900407,H_LG
2,문보경,69102,20000719,H_LG
17,박해민,62415,19900224,H_LG
4,신민재,65207,19960121,H_LG
32,쿠에바스,69032,19901014,P_KT
50,강백호,68050,19990729,H_KT
34,이호연,68504,19950603,H_KT
23,조용호,64868,19890909,H_KT
75,후라도,53375,19960130,P_WO
29,임지열,64340,19950822,H_WO
36,이형종,78135,19890607,H_WO
56,이지영,79456,19860227,H_WO
5,신준우,50312,20010621,H_WO
43,나균안,67539,19980316,P_LT
25,한동희,68525,19990601,H_LT
1,황성빈,50500,19971219,H_LT
13,페디,53913,19930225,P_NC
10,박세혁,62244,19900109,H_NC
48,브랜든,52257,19940603,P_OB
31,정수빈,79231,19901007,H_OB
52,김재호,74206,19850321,H_OB
11,로하스,53211,19930224,H_OB
25,양의지,76232,19870605,H_OB
53,양석환,64153,19910715,H_OB
32,김재환,78224,19880922,H_OB
23,강승호,63123,19940209,H_OB
22,장승현,63202,19940307,H_OB
9,박준영,66928,19970805,H_OB
29,김광현,77829,19880722,P_SK
17,추신수,51817,19820713,H_SK
54,최지훈,50854,19970723,H_SK
28,강진성,62925,19931019,H_SK
53,최주환,76267,19880228,H_SK
2,박성한,67893,19980330,H_SK
0,김강민,71837,19820913,H_SK
6,김성현,76802,19870309,H_SK
24,김민식,62864,19890628,H_SK
37,오태곤,60558,19911118,H_SK
18,원태인,69446,20000406,P_SS
58,김지찬,50458,20010308,H_SS
47,강민호,74540,19850818,H_SS
45,파노니,52606,19940428,P_HT
1,고영표,64001,19910916,P_KT
53,김민혁,64004,19951121,H_KT
7,김상수,79402,19900323,H_KT
25,알포드,52009,19940720,H_KT
52,박병호,75125,19860710,H_KT
22,장성우,78548,19900117,H_KT
10,황재균,76313,19870728,H_KT
24,문상철,64007,19910406,H_KT
6,박경수,73113,19840331,H_KT
27,배정대,64166,19950612,H_KT
22,맥키니,53322,19941118,P_WO
10,김준완,63920,19910120,H_WO
3,김혜성,67304,19990127,H_WO
51,이정후,67341,19980820,H_WO
1,김웅빈,65898,19960209,H_WO
24,송성문,65357,19960829,H_WO
25,주성원,69332,20000830,H_WO
35,임병욱,64346,19950930,H_WO
32,김재현,62332,19930318,H_WO
6,김주형,69306,19960305,H_WO
28,반즈,52528,19951001,P_LT
2,김민석,53554,20040509,H_LT
91,윤동희,52591,20030918,H_LT
13,안치홍,79608,19900702,H_LT
48,이정훈,67644,19941207,H_LT
8,전준우,78513,19860225,H_LT
52,노진혁,62931,19890715,H_LT
27,유강남,61102,19920715,H_LT
53,박승욱,62802,19921204,H_LT
7,이학주,69453,19901104,H_LT
27,와이드너,53927,19941024,P_NC
31,손아섭,77532,19880318,H_NC
5,서호철,69995,19961016,H_NC
55,마틴,53955,19950905,H_NC
36,권희동,63963,19901230,H_NC
52,윤형준,63905,19940131,H_NC
23,천재환,67905,19940401,H_NC
7,김주원,51907,20020730,H_NC
32,안중열,64022,19950901,H_NC
16,도태훈,66965,19930318,H_NC
4,뷰캐넌,50404,19890511,P_SS
41,김현준,51417,20021011,H_SS
39,김성윤,67449,19990202,H_SS
5,구자욱,62404,19930212,H_SS
63,피렐라,51463,19891121,H_SS
6,강한울,64610,19910912,H_SS
42,류지혁,62234,19940113,H_SS
7,이재현,52415,20030204,H_SS
48,김재성,65132,19961030,H_SS
3,김동진,51403,19961218,H_SS
54,양현종,77637,19880301,P_HT
16,최원준,66606,19970323,H_HT
5,김도영,52605,20031002,H_HT
47,나성범,62947,19891003,H_HT
34,최형우,72443,19831216,H_HT
30,소크라테스,52630,19920906,H_HT
3,김선빈,78603,19891218,H_HT
25,이우성,63260,19940717,H_HT
8,김태군,78122,19891230,H_HT
1,박찬호,64646,19950605,H_HT
