idx,code,year,era,kpit,kbb,wpa,re24,whip
000238,65764,2019,6.75,0.039,1.533,-0.037,-0.27,1.706
000239,65764,2020,4.34,0.05,1.722,-0.028,0.555,1.53
000240,65764,2021,4.0,0.047,1.645,-0.015,0.78,1.384
000241,65764,2022,4.36,0.047,1.536,-0.003,0.78,1.491
000242,65764,2023,6.97,0.045,1.536,-0.134,-0.79,1.839
000243,65769,2018,5.37,0.058,1.9,0.004,0.3,1.615
000244,65769,2019,5.68,0.043,1.393,0.0,0.09,1.816
000245,65769,2020,5.24,0.05,1.31,-0.001,0.225,1.873
000246,65769,2021,5.22,0.052,1.667,0.01,0.275,1.599
000247,65856,2018,3.96,0.063,3.34,-0.016,0.33,1.331
000248,65933,2018,5.35,0.049,2.231,0.0,0.18,1.632
000249,65933,2019,3.2,0.064,2.78,0.117,1.33,1.234
000250,65933,2020,1.69,0.072,5.182,0.205,2.89,0.865
000251,65933,2022,2.1,0.062,3.724,0.13,2.33,1.119
000252,65933,2023,3.26,0.071,3.857,0.022,0.78,1.085
000253,66018,2021,6.52,0.029,1.136,-0.015,0.54,1.697
000254,66018,2022,5.22,0.043,1.364,0.01,0.55,1.714
000255,66047,2018,10.68,0.04,1.263,-0.321,-3.79,2.308
000256,66291,2018,5.22,0.044,1.702,-0.018,-0.31,1.653
000257,66291,2019,3.79,0.035,1.484,0.132,1.695,1.358
000258,66291,2020,4.62,0.038,1.254,0.013,0.56,1.72
000259,66291,2021,5.95,0.04,0.985,0.021,0.56,1.765
000260,66291,2022,4.93,0.045,1.456,-0.073,0.33,1.753
000261,66451,2019,7.36,0.051,1.079,-0.002,-0.45,2.345
000262,66643,2018,4.6,0.048,3.806,-0.002,0.33,1.443
000263,66741,2018,5.66,0.03,1.514,-0.031,0.14,1.662
000264,66741,2022,5.4,0.03,1.333,0.002,0.45,1.8
000265,66859,2020,7.43,0.026,1.1,-0.014,-0.33,1.913
000266,66920,2018,5.88,0.049,2.28,0.007,0.335,1.492
000267,66920,2019,3.94,0.042,1.265,0.016,0.405,1.591
000268,66920,2020,6.08,0.025,0.771,-0.161,-0.995,1.731
000269,66960,2018,6.05,0.035,1.152,-0.021,-0.23,1.81
000270,66960,2021,6.82,0.036,0.815,-0.066,-1.105,2.077
000271,67008,2019,4.08,0.04,1.513,0.036,0.56,1.57
000272,67246,2021,4.69,0.04,3.133,0.001,0.19,1.437
000273,67263,2019,2.59,0.041,2.438,0.001,0.44,1.329
000274,67263,2020,3.97,0.043,2.676,0.006,0.56,1.431
000275,67263,2021,3.45,0.042,2.574,0.105,1.33,1.366
000276,67263,2022,3.6,0.041,3.054,-0.024,0.355,1.376
000277,67263,2023,5.08,0.043,2.65,0.026,0.835,1.528
000278,67313,2018,4.02,0.056,3.421,0.013,0.33,1.308
000279,67313,2019,2.98,0.052,2.75,0.075,1.33,1.291
000280,67313,2020,3.57,0.057,2.535,0.088,1.715,1.341
000281,67313,2021,2.95,0.052,1.885,0.096,0.83,1.295
000282,67391,2020,4.68,0.049,2.217,0.01,0.56,1.508
000283,67539,2021,6.41,0.031,1.125,-0.031,-0.45,1.856
000284,67539,2022,3.98,0.063,3.324,0.01,0.56,1.411
000285,67539,2023,3.23,0.049,2.517,0.014,1.11,1.37
000286,67588,2018,6.39,0.064,1.806,-0.003,-0.34,1.776
000287,67603,2018,5.16,0.047,1.552,0.0,0.23,1.605
000288,67603,2019,4.42,0.041,1.544,-0.02,0.33,1.489
000289,67603,2020,5.08,0.038,1.825,-0.022,0.32,1.492
000290,67603,2021,5.59,0.044,1.194,0.003,0.56,1.903
000291,67645,2018,6.35,0.046,3.778,0.009,0.11,1.611
000292,67828,2018,6.19,0.053,2.143,0.0,0.11,1.812
000293,68043,2018,5.06,0.037,1.0,-0.03,0.22,1.902
000294,68043,2019,4.96,0.039,1.4,-0.086,-0.12,1.619
000295,68043,2020,6.54,0.041,1.103,0.002,0.22,1.875
000296,68135,2018,3.07,0.057,4.257,0.095,1.33,1.176
000297,68135,2019,2.8,0.05,3.2,0.112,1.89,1.218
000298,68135,2020,4.56,0.046,2.595,-0.008,0.33,1.453
000299,68200,2020,4.13,0.052,2.44,0.004,0.56,1.332
000300,68200,2021,5.82,0.037,1.344,0.004,0.56,1.677
000301,68220,2021,4.14,0.051,1.282,-0.015,0.61,1.673
000302,68220,2022,3.78,0.054,2.3,0.024,0.86,1.456
000303,68220,2023,2.16,0.044,1.484,0.165,1.33,1.152
000304,68240,2018,3.55,0.054,2.638,0.081,1.33,1.3
000305,68240,2019,3.43,0.052,3.324,0.037,0.83,1.297
000306,68249,2022,6.71,0.032,0.95,0.0,-0.01,2.092
000307,68341,2018,5.53,0.064,2.0,-0.002,0.065,1.649
000308,68341,2019,5.23,0.055,2.2,-0.021,-0.61,1.542
000309,68341,2021,3.24,0.06,2.767,0.059,0.97,1.254
000310,68341,2022,2.1,0.074,4.129,0.186,1.97,0.984
000311,68341,2023,2.44,0.076,5.417,0.113,1.33,1.056
000312,68400,2018,5.3,0.052,2.397,-0.04,-0.01,1.601
000313,68403,2022,5.91,0.05,1.455,0.003,0.56,1.829
000314,68415,2018,5.05,0.032,1.441,-0.027,0.78,1.649
000315,68419,2019,4.81,0.047,2.472,-0.006,0.335,1.547
000316,68419,2020,3.58,0.049,2.412,0.097,1.88,1.295
000317,68419,2021,4.65,0.039,2.243,0.003,0.09,1.508
000318,68419,2023,7.68,0.027,1.538,-0.17,-2.04,1.982
000319,68435,2018,5.05,0.045,2.537,-0.026,0.33,1.561
000320,68501,2022,6.15,0.029,1.2,-0.006,-0.065,1.752
000321,68526,2018,4.92,0.044,1.758,-0.118,-0.23,1.697
000322,68529,2020,4.66,0.052,3.091,-0.075,-0.23,1.309
000323,68529,2021,5.77,0.029,0.721,-0.0,0.205,1.994
000324,68619,2021,3.92,0.023,1.065,0.003,0.56,1.645
000325,68659,2021,7.62,0.029,0.829,-0.097,-0.78,1.84
000326,68701,2020,5.64,0.035,1.16,0.0,0.035,1.791
000327,68703,2019,7.98,0.037,1.125,-0.002,-0.4,2.009
000328,68742,2018,5.13,0.05,2.765,-0.093,-0.23,1.702
000329,68748,2018,4.72,0.064,2.434,0.014,0.75,1.422
000330,68794,2018,4.23,0.051,3.444,-0.036,0.33,1.327
000331,68815,2018,4.78,0.051,3.275,0.015,0.42,1.408
000332,68815,2019,2.82,0.059,3.667,0.135,1.78,1.213
000333,68856,2021,5.86,0.037,1.24,0.005,0.56,1.744
000334,68856,2022,3.95,0.043,1.412,0.003,0.56,1.302
000335,68900,2019,5.29,0.041,1.484,-0.001,0.32,1.794
000336,68900,2020,5.25,0.046,4.0,-0.075,-0.23,1.436
000337,68900,2021,5.37,0.039,1.5,0.02,0.32,1.539
000338,68902,2020,5.79,0.036,2.0,-0.005,0.18,1.738
000339,68902,2021,4.41,0.043,2.432,0.005,0.535,1.407
000340,68902,2022,4.56,0.052,3.387,0.05,0.555,1.437
000341,68902,2023,3.98,0.046,3.091,-0.009,0.78,1.431
000342,68928,2022,3.24,0.055,1.837,0.026,0.56,1.464
000343,68948,2018,4.26,0.046,2.7,-0.058,0.31,1.504
000344,68953,2018,5.28,0.054,2.441,-0.121,-0.67,1.587
000345,69032,2019,3.62,0.047,2.143,0.082,1.89,1.239
000346,69032,2020,4.05,0.043,2.435,0.017,0.85,1.272
000347,69032,2021,3.96,0.063,2.843,0.056,0.565,1.369
000348,69032,2023,3.8,0.052,3.273,0.036,0.935,1.2
000349,69041,2019,4.75,0.033,0.935,0.002,0.56,1.796
000350,69045,2019,4.01,0.039,3.704,0.043,0.89,1.297
000351,69045,2020,2.85,0.055,5.706,0.128,1.33,1.122
000352,69045,2023,1.98,0.064,6.029,0.237,2.77,0.944
000353,69103,2019,2.52,0.045,3.116,0.143,1.89,1.197
000354,69103,2020,3.29,0.053,3.512,0.084,1.89,1.192
000355,69103,2021,3.05,0.049,2.297,0.049,1.63,1.33
000356,69103,2022,2.59,0.057,4.079,0.195,2.33,1.117
000357,69103,2023,4.41,0.043,2.627,-0.046,0.33,1.371
000358,69113,2022,6.0,0.05,1.857,-0.038,0.18,1.767
000359,69134,2023,5.59,0.031,1.917,0.007,0.465,1.757
000360,69168,2021,4.32,0.032,0.938,-0.001,-0.23,1.76
000361,69343,2019,3.28,0.051,3.356,0.037,0.89,1.269
000362,69343,2020,2.14,0.048,4.6,0.154,1.33,1.096
000363,69343,2021,2.93,0.046,2.848,0.13,1.82,1.23
000364,69343,2022,2.61,0.052,4.308,0.136,1.33,1.152
000365,69343,2023,4.39,0.046,3.643,0.05,0.555,1.523
000366,69360,2020,5.28,0.029,0.852,0.0,0.16,1.782
000367,69413,2019,5.05,0.048,1.515,-0.031,0.52,1.7
000368,69435,2019,5.75,0.053,2.471,-0.103,-0.45,1.54
000369,69439,2019,3.95,0.07,4.462,0.074,1.89,1.211
000370,69439,2020,4.26,0.048,2.436,-0.073,-0.23,1.33
000371,69439,2021,4.05,0.062,2.923,0.186,0.77,1.23
000372,69446,2019,4.82,0.036,1.744,0.002,0.755,1.455
000373,69446,2020,4.89,0.033,1.393,-0.018,0.22,1.607
000374,69446,2021,3.15,0.05,2.434,0.125,1.78,1.306
000375,69446,2022,3.92,0.049,3.421,0.009,0.03,1.331
000376,69446,2023,3.24,0.039,2.173,0.061,1.33,1.343
000377,69516,2020,7.24,0.031,0.613,-0.005,-0.71,2.289
000378,69516,2021,7.88,0.03,0.75,-0.022,-0.89,2.102
000379,69539,2019,5.47,0.034,1.579,0.0,-0.02,1.711
000380,69539,2020,5.18,0.032,1.935,0.003,0.3,1.551
000381,69539,2021,7.33,0.038,1.276,-0.004,0.245,1.963
000382,69539,2022,4.8,0.043,1.957,0.006,0.47,1.55
000383,69550,2019,4.74,0.057,2.609,0.041,0.78,1.309
000384,69620,2019,5.56,0.032,0.754,-0.017,-0.34,1.739
000385,69620,2020,5.37,0.039,1.258,-0.017,-0.015,1.75
000386,69640,2019,5.46,0.045,2.086,-0.049,-0.655,1.657
000387,69656,2019,4.75,0.05,2.322,-0.011,0.33,1.552
000388,69744,2019,3.51,0.043,2.5,0.118,1.31,1.321
000389,69744,2020,4.91,0.035,2.31,-0.054,-0.495,1.564
000390,69745,2019,4.26,0.021,0.714,0.017,0.82,1.711
000391,69745,2020,6.82,0.032,0.932,-0.079,-0.47,1.902
000392,69748,2019,3.5,0.047,2.127,0.031,1.33,1.365
000393,69748,2020,5.96,0.045,1.743,-0.122,-1.065,1.636
000394,69762,2019,5.1,0.035,0.7,-0.005,-0.42,1.833
000395,69762,2022,4.59,0.025,0.696,-0.003,-0.03,1.98
000396,69839,2023,3.86,0.043,1.529,0.015,0.56,1.429
000397,69861,2019,4.34,0.046,2.925,-0.042,-0.12,1.413
000398,69934,2019,4.76,0.039,1.75,-0.061,0.33,1.48
000399,69940,2019,3.05,0.044,2.644,0.14,1.89,1.241
000400,69940,2020,2.89,0.055,2.902,0.107,1.68,1.316
000401,69940,2021,3.17,0.06,3.218,0.151,1.78,1.259
000402,69940,2022,2.97,0.065,5.706,0.145,1.89,1.172
000403,69953,2019,3.0,0.049,2.417,0.109,1.33,1.32
000404,69962,2020,3.46,0.048,1.878,0.011,0.56,1.324
000405,69962,2021,5.91,0.045,1.759,-0.047,0.315,1.743
000406,69962,2022,4.51,0.052,1.963,-0.039,-0.51,1.718
000407,69962,2023,5.03,0.035,1.259,-0.003,-0.08,1.798
000408,69974,2021,4.95,0.032,1.353,0.002,0.56,1.8
000409,70425,2018,6.63,0.049,3.133,-0.083,-1.23,1.635
000410,72535,2018,5.32,0.034,2.778,0.002,0.13,1.568
000411,73211,2018,4.08,0.042,2.967,0.0,0.42,1.224
000412,73211,2020,4.87,0.036,1.925,-0.022,0.33,1.383
000413,73211,2021,7.35,0.033,1.458,-0.078,-1.13,1.899
000414,73211,2022,3.12,0.045,2.417,0.046,0.56,1.195
000415,73738,2018,5.86,0.044,3.0,0.01,0.31,1.576
000416,73750,2018,5.89,0.052,2.7,-0.126,-1.21,1.607
000417,73801,2020,4.4,0.031,1.5,0.007,0.56,1.57
000418,74454,2018,6.98,0.044,2.781,-0.208,-1.78,1.747
000419,74454,2019,4.77,0.028,1.3,-0.045,0.11,1.548
000420,74513,2018,10.05,0.034,1.278,-0.123,-1.13,2.093
000421,74838,2018,4.86,0.053,5.625,0.003,0.56,1.286
000422,75258,2018,5.41,0.029,1.162,-0.133,-0.5,1.842
000423,75258,2019,5.05,0.026,1.04,-0.036,0.555,1.719
000424,75340,2019,3.39,0.045,2.556,0.006,0.385,1.387
000425,75620,2018,6.64,0.042,2.636,0.018,-0.03,1.672
000426,76225,2019,4.46,0.039,1.593,0.004,0.54,1.59
000427,76355,2018,6.16,0.039,2.077,-0.046,-0.18,1.605
000428,76355,2020,7.68,0.026,1.5,-0.003,-0.75,1.853
000429,76455,2018,6.09,0.046,1.722,-0.087,-0.64,1.576
000430,76455,2019,3.99,0.044,2.097,0.05,0.835,1.438
000431,76455,2020,5.34,0.044,1.821,0.023,0.26,1.594
000432,76610,2018,6.69,0.041,2.5,0.003,0.11,1.821
000433,77211,2018,3.74,0.046,2.595,0.09,1.11,1.391
000434,77211,2019,3.92,0.043,2.167,0.086,1.33,1.49
000435,77318,2019,4.95,0.05,1.879,-0.004,0.7,1.66
000436,77318,2020,5.02,0.047,1.554,-0.158,-0.645,1.666
000437,77318,2021,7.04,0.035,0.979,-0.034,-0.45,2.072
000438,77446,2018,4.58,0.046,2.75,0.015,0.67,1.44
000439,77446,2019,4.24,0.032,1.464,-0.1,-0.55,1.401
000440,77446,2020,5.19,0.044,2.706,-0.124,-0.67,1.441
000441,77446,2021,2.83,0.043,2.037,0.068,1.695,1.289
000442,77446,2022,5.2,0.034,1.892,-0.071,-0.235,1.612
000443,77446,2023,3.95,0.043,1.815,0.057,1.33,1.302
000444,77591,2018,6.15,0.047,1.943,-0.104,-0.4,1.671
000445,77637,2018,4.05,0.052,3.444,-0.034,0.74,1.325
000446,77637,2019,2.29,0.06,4.939,0.181,2.33,1.083
000447,77637,2020,4.7,0.051,2.328,-0.021,0.89,1.445
000448,77637,2022,3.85,0.049,2.82,0.063,0.55,1.278
000449,77637,2023,3.85,0.054,3.143,0.022,0.77,1.512
000450,77829,2018,3.08,0.063,4.667,0.096,1.63,1.157
000451,77829,2019,2.44,0.063,4.821,0.141,1.48,1.254
000452,77829,2022,2.24,0.058,3.196,0.095,1.33,1.148
000453,77829,2023,3.5,0.049,2.0,0.098,1.28,1.351
000454,77927,2020,5.75,0.039,1.625,0.002,0.56,1.722
000455,77927,2022,5.7,0.034,1.133,0.005,0.36,1.933
000456,78148,2020,3.39,0.048,2.719,0.022,0.855,1.368
000457,78148,2021,4.28,0.032,2.069,0.059,1.33,1.478
000458,78148,2022,5.24,0.03,1.536,-0.092,-0.78,1.623
000459,78148,2023,3.94,0.035,3.625,0.123,2.33,1.011
000460,78517,2020,6.05,0.034,0.963,0.003,0.56,1.632
000461,78536,2020,3.1,0.054,1.654,0.003,0.56,1.561
000462,79229,2018,6.73,0.033,1.929,-0.111,-0.82,1.722
000463,79229,2019,3.44,0.024,1.488,0.088,1.59,1.345
000464,79229,2020,5.0,0.023,1.436,-0.122,-0.67,1.749
000465,79229,2021,7.71,0.019,0.958,-0.201,-1.57,2.127
000466,79764,2018,4.64,0.044,1.84,0.001,0.56,1.422
000467,79764,2019,5.43,0.054,3.815,-0.085,-0.7,1.534
000468,79764,2020,6.75,0.033,2.462,-0.002,0.315,1.762
000469,79764,2022,3.55,0.035,1.923,0.014,0.715,1.326
000470,79764,2023,4.53,0.047,2.857,-0.027,0.22,1.452
000471,79847,2018,3.51,0.062,2.488,0.021,0.56,1.39
000472,79847,2020,7.4,0.039,1.103,-0.041,-0.26,1.677
000473,95657,2018,5.48,0.054,2.897,0.031,0.5,1.552
000474,99563,2018,5.76,0.044,3.5,-0.002,0.03,1.522
